"file_label","data_domain","cycle_or_year","cycle_suffix","module","file_type","source_url","required_for","expected_cache_subdir","participant_level_raw_file_included"
"ALB_CR_F.XPT","NHANES public-use data","2009-2010","F","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/ALB_CR_F.XPT","urine_albumin_creatinine","2009-2010","no"
"BIOPRO_F.XPT","NHANES public-use data","2009-2010","F","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BIOPRO_F.XPT","biochemistry_serum_uric_acid","2009-2010","no"
"BMX_F.XPT","NHANES public-use data","2009-2010","F","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BMX_F.XPT","body_measures","2009-2010","no"
"BPQ_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPQ_F.XPT","blood_pressure_questionnaire","2009-2010","no"
"BPX_F.XPT","NHANES public-use data","2009-2010","F","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPX_F.XPT","blood_pressure_exam","2009-2010","no"
"CBC_F.XPT","NHANES public-use data","2009-2010","F","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/CBC_F.XPT","complete_blood_count","2009-2010","no"
"COTNAL_F.XPT","NHANES public-use data","2009-2010","F","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/COTNAL_F.XPT","serum_cotinine","2009-2010","no"
"DEMO_F.XPT","NHANES public-use data","2009-2010","F","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT","demographics","2009-2010","no"
"DIQ_F.XPT","NHANES public-use data","2009-2010","F","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DIQ_F.XPT","diabetes","2009-2010","no"
"GHB_F.XPT","NHANES public-use data","2009-2010","F","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/GHB_F.XPT","glycohemoglobin","2009-2010","no"
"MCQ_F.XPT","NHANES public-use data","2009-2010","F","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/MCQ_F.XPT","medical_conditions","2009-2010","no"
"OHXDEN_F.XPT","NHANES public-use data","2009-2010","F","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/OHXDEN_F.XPT","dentition","2009-2010","no"
"OHXPER_F.XPT","NHANES public-use data","2009-2010","F","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/OHXPER_F.XPT","periodontal_full_mouth","2009-2010","no"
"RXQ_RX_F.XPT","NHANES public-use data","2009-2010","F","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/RXQ_RX_F.XPT","medications","2009-2010","no"
"SMQ_F.XPT","NHANES public-use data","2009-2010","F","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/SMQ_F.XPT","smoking","2009-2010","no"
"ALB_CR_G.XPT","NHANES public-use data","2011-2012","G","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/ALB_CR_G.XPT","urine_albumin_creatinine","2011-2012","no"
"BIOPRO_G.XPT","NHANES public-use data","2011-2012","G","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BIOPRO_G.XPT","biochemistry_serum_uric_acid","2011-2012","no"
"BMX_G.XPT","NHANES public-use data","2011-2012","G","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BMX_G.XPT","body_measures","2011-2012","no"
"BPQ_G.XPT","NHANES public-use data","2011-2012","G","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BPQ_G.XPT","blood_pressure_questionnaire","2011-2012","no"
"BPX_G.XPT","NHANES public-use data","2011-2012","G","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BPX_G.XPT","blood_pressure_exam","2011-2012","no"
"CBC_G.XPT","NHANES public-use data","2011-2012","G","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/CBC_G.XPT","complete_blood_count","2011-2012","no"
"COTNAL_G.XPT","NHANES public-use data","2011-2012","G","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/COTNAL_G.XPT","serum_cotinine","2011-2012","no"
"DEMO_G.XPT","NHANES public-use data","2011-2012","G","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.XPT","demographics","2011-2012","no"
"DIQ_G.XPT","NHANES public-use data","2011-2012","G","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DIQ_G.XPT","diabetes","2011-2012","no"
"GHB_G.XPT","NHANES public-use data","2011-2012","G","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/GHB_G.XPT","glycohemoglobin","2011-2012","no"
"MCQ_G.XPT","NHANES public-use data","2011-2012","G","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.XPT","medical_conditions","2011-2012","no"
"OHXDEN_G.XPT","NHANES public-use data","2011-2012","G","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/OHXDEN_G.XPT","dentition","2011-2012","no"
"OHXPER_G.XPT","NHANES public-use data","2011-2012","G","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/OHXPER_G.XPT","periodontal_full_mouth","2011-2012","no"
"RXQ_RX_G.XPT","NHANES public-use data","2011-2012","G","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/RXQ_RX_G.XPT","medications","2011-2012","no"
"SMQ_G.XPT","NHANES public-use data","2011-2012","G","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/SMQ_G.XPT","smoking","2011-2012","no"
"ALB_CR_H.XPT","NHANES public-use data","2013-2014","H","urine_albumin_creatinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/ALB_CR_H.XPT","urine_albumin_creatinine","2013-2014","no"
"BIOPRO_H.XPT","NHANES public-use data","2013-2014","H","biochemistry_serum_uric_acid","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BIOPRO_H.XPT","biochemistry_serum_uric_acid","2013-2014","no"
"BMX_H.XPT","NHANES public-use data","2013-2014","H","body_measures","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.XPT","body_measures","2013-2014","no"
"BPQ_H.XPT","NHANES public-use data","2013-2014","H","blood_pressure_questionnaire","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BPQ_H.XPT","blood_pressure_questionnaire","2013-2014","no"
"BPX_H.XPT","NHANES public-use data","2013-2014","H","blood_pressure_exam","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BPX_H.XPT","blood_pressure_exam","2013-2014","no"
"CBC_H.XPT","NHANES public-use data","2013-2014","H","complete_blood_count","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/CBC_H.XPT","complete_blood_count","2013-2014","no"
"COT_H.XPT","NHANES public-use data","2013-2014","H","serum_cotinine","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/COT_H.XPT","serum_cotinine","2013-2014","no"
"DEMO_H.XPT","NHANES public-use data","2013-2014","H","demographics","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.XPT","demographics","2013-2014","no"
"DIQ_H.XPT","NHANES public-use data","2013-2014","H","diabetes","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.XPT","diabetes","2013-2014","no"
"GHB_H.XPT","NHANES public-use data","2013-2014","H","glycohemoglobin","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/GHB_H.XPT","glycohemoglobin","2013-2014","no"
"MCQ_H.XPT","NHANES public-use data","2013-2014","H","medical_conditions","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.XPT","medical_conditions","2013-2014","no"
"OHXDEN_H.XPT","NHANES public-use data","2013-2014","H","dentition","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/OHXDEN_H.XPT","dentition","2013-2014","no"
"OHXPER_H.XPT","NHANES public-use data","2013-2014","H","periodontal_full_mouth","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/OHXPER_H.XPT","periodontal_full_mouth","2013-2014","no"
"RXQ_RX_H.XPT","NHANES public-use data","2013-2014","H","medications","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/RXQ_RX_H.XPT","medications","2013-2014","no"
"SMQ_H.XPT","NHANES public-use data","2013-2014","H","smoking","XPT","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/SMQ_H.XPT","smoking","2013-2014","no"
"NHANES_2009_2010_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2009-2010","F","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2009_2010_MORT_2019_PUBLIC.dat","all-cause mortality status and follow-up time","linked_mortality","no"
"NHANES_2011_2012_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2011-2012","G","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2011_2012_MORT_2019_PUBLIC.dat","all-cause mortality status and follow-up time","linked_mortality","no"
"NHANES_2013_2014_MORT_2019_PUBLIC.dat","NCHS public-use linked mortality","2013-2014","H","linked_mortality","DAT","https://ftp.cdc.gov/pub/Health_Statistics/NCHS/datalinkage/linked_mortality/NHANES_2013_2014_MORT_2019_PUBLIC.dat","all-cause mortality status and follow-up time","linked_mortality","no"
